,boro_ct201,CAMIS
1490,4046500,15
1491,4046600,9
1492,4046700,2
1493,4046800,9
1494,4046900,9
1495,4047000,6
1496,4047100,19
1497,4047300,18
1498,4047500,14
1499,4047600,1
1500,4047800,10
1501,4047900,10
1502,4048000,7
1503,4048100,11
1504,4048200,3
1505,4048300,5
1506,4048400,6
1507,4048500,19
1508,4048900,4
1509,4049200,3
1510,4049301,2
1511,4049302,25
1512,4049600,3
1513,4049900,1
1514,4050000,4
1515,4050400,1
1516,4050600,4
1517,4050800,3
1518,4051000,5
1519,4051100,1
1520,4051200,2
1521,4051500,7
1522,4051700,5
1523,4052000,2
1524,4052100,5
1525,4052200,1
1526,4052400,1
1527,4052500,3
1528,4052600,3
1529,4052800,5
1530,4053000,3
1531,4053100,11
1532,4053200,6
1533,4053401,3
1534,4053500,15
1535,4053800,1
1536,4053900,7
1537,4054000,5
1538,4054200,11
1539,4054500,9
1540,4054700,10
1541,4054800,1
1542,4054900,27
1543,4055100,27
1544,4055200,8
1545,4055300,16
1546,4055400,4
1547,4055500,6
1548,4055700,17
1549,4055900,7
1550,4056000,1
1551,4056400,6
1552,4056600,6
1553,4056700,1
1554,4056800,16
1555,4057700,7
1556,4057900,1
1557,4058100,5
1558,4058200,4
1559,4058300,15
1560,4058500,16
1561,4058700,5
1562,4058900,5
1563,4059100,2
1564,4059300,5
1565,4059500,11
1566,4059600,4
1567,4059800,3
1568,4059900,2
1569,4060000,4
1570,4060100,6
1571,4060300,6
1572,4060600,4
1573,4061301,23
1574,4061302,1
1575,4061602,3
1576,4061800,3
1577,4061900,4
1578,4062100,3
1579,4062200,4
1580,4062300,1
1581,4062500,5
1582,4062600,1
1583,4062700,1
1584,4062900,9
1585,4063000,4
1586,4063200,21
1587,4063301,1
1588,4063302,1
1589,4063500,4
1590,4063700,27
1591,4063800,7
1592,4063900,2
1593,4064102,1
1594,4064500,13
1595,4065000,1
1596,4065400,14
1597,4065600,2
1598,4065702,3
1599,4065703,8
1600,4066300,2
1601,4066400,3
1602,4066501,3
1603,4066701,1
1604,4067100,4
1605,4067700,4
1606,4067900,18
1607,4068000,6
1608,4068300,40
1609,4068700,2
1610,4069300,25
1611,4069500,5
1612,4069701,3
1613,4069702,1
1614,4070300,1
1615,4070700,5
1616,4070900,5
1617,4071100,39
1618,4071303,19
1619,4071304,2
1620,4071305,4
1621,4071306,9
1622,4071600,130
1623,4071701,17
1624,4071702,11
1625,4072100,2
1626,4072300,1
1627,4072900,5
1628,4073100,15
1629,4073700,36
1630,4074300,15
1631,4075701,14
1632,4076901,15
1633,4076902,10
1634,4077500,13
1635,4077902,11
1636,4077904,16
1637,4077905,1
1638,4077906,7
1639,4077907,2
1640,4078800,6
1641,4079000,5
1642,4079200,5
1643,4079701,6
1644,4079702,11
1645,4079900,6
1646,4080301,10
1647,4080900,13
1648,4081400,5
1649,4081800,4
1650,4083700,12
1651,4083800,6
1652,4084000,11
1653,4084500,8
1654,4084602,1
1655,4084900,50
1656,4085300,82
1657,4085500,2
1658,4085700,9
1659,4085900,11
1660,4086100,1
